@relation ringnorm
@attribute f1 real [-4.49387, 3.8167]
@attribute f2 real [-4.68628, 4.22708]
@attribute f3 real [-4.89449, 4.55568]
@attribute f4 real [-4.34605, 4.36565]
@attribute f5 real [-4.70299, 4.03935]
@attribute f6 real [-4.45287, 4.06021]
@attribute f7 real [-4.97147, 3.94246]
@attribute f8 real [-4.51019, 3.86375]
@attribute f9 real [-4.56651, 4.4876]
@attribute f10 real [-4.7529, 4.45058]
@attribute f11 real [-5.04382, 4.3708]
@attribute f12 real [-4.77719, 4.12549]
@attribute f13 real [-4.57555, 3.86998]
@attribute f14 real [-4.86707, 4.46455]
@attribute f15 real [-4.72444, 4.4442]
@attribute f16 real [-4.57191, 4.15583]
@attribute f17 real [-4.97265, 4.38814]
@attribute f18 real [-5.51035, 4.1107]
@attribute f19 real [-4.97365, 3.52078]
@attribute f20 real [-4.42216, 4.70729]
@attribute clase integer [0, 1]
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20
@outputs clase
@data
0.59451854686261,0.5464499358266691,0.5549802807780178,0.44844037329109127,0.5217550449879552,0.6035809601225409,0.5944225498741856,0.515194042469853,0.5989993494667063,0.6149635789940326,0.5374691596686856,0.4943995515956993,0.6189467090875291,0.548418388232697,0.3431893934105822,0.5795235650924523,0.6970266398455687,0.4693176940146865,0.5231644736609755,0.6338979894736265,1
0.5802296352717082,0.48548594469425665,0.5625008862274435,0.35453929772604653,0.6679481694832278,0.5890215997030454,0.6052221635126145,0.6225805295953877,0.45636224874670184,0.48875349324385997,0.5852611151591887,0.6002722775613636,0.5700093422200857,0.5393367925397734,0.6366582175764345,0.6096675657157522,0.4930310369103462,0.6104212118219944,0.6533700318914866,0.4895393588879943,1
0.4129560306934422,0.5835702810163619,0.6389779231484725,0.631299287165536,0.4594486144441877,0.4499881359038092,0.7267064022266273,0.49221668652987716,0.5558797054597304,0.4751966647398592,0.5345712625682184,0.8170371169131093,0.5169901711319479,0.32432417951009573,0.49990456599888317,0.799771762220231,0.6071952260439557,0.4998147811309576,0.5234882152186786,0.6321136541631751,0
0.5030119474356152,0.17388167873843305,0.4702072026217518,0.9506250215227795,0.3857845839900988,0.46675363088329963,0.537478530793937,0.9407136903297613,0.48543357657461644,0.6237278725004021,0.553077766282654,0.612890500388647,0.3830014220540333,0.5113182920007459,0.2990825247801201,0.3684516266524896,0.4477001406932534,0.4935622411275276,0.7070185992468007,0.3851208999446845,0
0.6622710596264757,0.7237169821481461,0.5032808933595904,0.5096545909523973,0.5360064353479732,0.47064012084932844,0.5948333675494423,0.4682875683370074,0.6387927692506497,0.5464902406481027,0.5941079937374,0.6384369650487268,0.571528015411703,0.5716925892824611,0.6054978710037694,0.5130541812657113,0.5587594636777452,0.5925886467693234,0.5718955833410836,0.5267893465652367,1
0.5774569012715133,0.5085332579408888,0.27744791892632625,0.5979227934846241,0.501861172180446,0.38419702387385063,0.44149998934252344,0.44885263090014976,0.6562489300439248,0.3298306727455267,0.5114414601970129,0.6748035423041151,0.5501558575956749,0.734557343740958,0.7327575300153567,0.3678661371672391,0.60944289958433,0.4645324574760551,0.9269297645633668,0.2720886800409663,0
0.4727478379942652,0.3865343708769756,0.7957962660989167,0.4598004981806077,0.20820169428322394,0.6486688719006518,0.6819483662088438,0.5705528102661352,0.5709981433846065,0.4796029328036786,0.6547571755418701,0.6133134067494282,0.376934307260764,0.6286188250271656,0.4087872356205501,0.6112004940568806,0.4210520693232088,0.3753509232360293,0.4550864507683271,0.4772667247205472,0
0.44785435896695414,0.5641496584901765,0.5581931330335856,0.48259340886394153,0.6336724492527173,0.634431016741297,0.7256900155150421,0.5277704163153784,0.527414952988201,0.48241643378374266,0.4764801978199864,0.5639334447604542,0.7078134823983812,0.3978323163609319,0.6324176759039509,0.49332656564013133,0.43276304670866456,0.5072860030869811,0.43165933441090226,0.5842986160173942,1
0.4775183892320262,0.5702794456860263,0.4359017880101628,0.5422397465477461,0.38367645275749973,0.4316227499330443,0.6017685801885364,0.38662087380611754,0.5228412290109133,0.646455471191332,0.5519186116911783,0.588422475029991,0.5952484923977536,0.560208195361577,0.5818061348247942,0.4738270159285221,0.5930074277918851,0.5741244770581173,0.5340011042530223,0.46069412724753406,1
0.6156061497586809,0.6889646553039482,0.4269995142944519,0.7725794047086102,0.4844103523770524,0.33237324211683666,0.5071405092927587,0.29805682868518285,0.4143263114762246,0.540118737694872,0.3897693162336876,0.24872622625995766,0.6273325652741746,0.4211811025309646,0.5263419656568478,0.48658908262620104,0.45007600854201407,0.5672721896258724,0.7439639858118792,0.588542792829798,0
