@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {0, 1, 2}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
-2.04427, 1.37092, -0.726939, -2.35125, -0.68774, 2
0.485933, -0.680125, -0.442198, 0.42249, -0.68774, 2
0.485933, 0.198895, -0.726939, -2.35125, -0.610183, 2
0.485933, -1.11964, 1.26625, 0.42249, 1.09607, 1
0.485933, -1.11964, 1.26625, 0.42249, 1.17363, 1
0.485933, -0.0941115, -0.726939, -2.35125, -1.38575, 1
0.485933, -0.973132, 0.412027, 0.42249, -1.15308, 1
0.485933, -0.387118, -1.01168, 0.42249, 1.79408, 0
0.485933, 0.638406, -0.442198, 0.42249, -0.68774, 0
0.485933, -0.0941115, -1.01168, 0.42249, 0.242943, 0
0.485933, -0.973132, 0.412027, 0.42249, 2.10431, 2
0.485933, -0.533622, -0.726939, 0.42249, -0.0672845, 2
-2.04427, 1.22442, -0.726939, 0.42249, 2.33698, 2
0.485933, 0.198895, -0.726939, -2.35125, -0.610183, 2
0.485933, -1.11964, 1.26625, 0.42249, 1.17363, 1
0.485933, 1.22442, -0.726939, 0.42249, 1.4063, 1
0.485933, 1.66393, -0.157456, 0.42249, -0.377512, 1
0.485933, -1.85215, 0.98151, -2.35125, -0.455069, 1
0.485933, -0.826629, -0.726939, 0.42249, -0.299955, 1
-2.04427, -0.0941115, -0.726939, -2.35125, -1.15308, 0
0.485933, 0.345399, -0.0150856, 0.42249, 0.630728, 0
-2.04427, 1.37092, -0.726939, -2.35125, -0.222398, 2
-2.04427, 1.22442, -0.726939, 0.42249, 1.32874, 2
0.485933, -0.680125, -0.442198, 0.42249, -0.299955, 2
0.485933, -0.680125, -0.86931, 0.42249, -1.07552, 1
0.485933, 1.37092, -0.726939, 0.42249, -1.38575, 1
0.485933, 0.931413, -0.86931, 0.42249, -1.07552, 0
0.485933, -0.0941115, -1.01168, 0.42249, 0.0878293, 0
0.485933, 1.37092, -0.726939, 0.42249, -1.23064, 0
0.485933, -1.70565, 0.127285, 0.42249, 0.0878293, 0
0.485933, -0.680125, -0.299827, 0.42249, -1.61842, 2
-2.04427, -0.533622, -0.726939, 0.42249, -0.532626, 2
0.485933, 0.931413, -0.86931, 0.42249, 1.32874, 2
0.485933, -0.680125, 2.26285, 0.42249, -0.610183, 1
0.485933, 1.22442, -1.01168, 0.42249, 1.09607, 1
0.485933, 1.37092, -0.726939, 0.42249, -0.299955, 0
-2.04427, 0.638406, -0.157456, 0.42249, 1.56141, 0
0.485933, 1.22442, -1.01168, 0.42249, 1.79408, 0
