@relation vowel
@attribute a01 integer [0, 1]
@attribute a02 integer [0, 14]
@attribute a03 integer [0, 1]
@attribute a04 real [-5.211, -0.941]
@attribute a05 real [-1.274, 5.074]
@attribute a06 real [-2.487, 1.431]
@attribute a07 real [-1.409, 2.377]
@attribute a08 real [-2.127, 1.831]
@attribute a09 real [-0.836, 2.327]
@attribute a10 real [-1.537, 1.403]
@attribute a11 real [-1.293, 2.039]
@attribute a12 real [-1.613, 1.309]
@attribute a13 real [-1.68, 1.396]
@attribute class {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10}
@inputs a01, a02, a03, a04, a05, a06, a07, a08, a09, a10, a11, a12, a13
@outputs class
@data
0, 0, 0, -2.287, 1.809, -1.498, 1.012, -1.053, 1.06, -0.567, 0.235, -0.091, -0.795, 3
0, 0, 0, -3.941, 2.305, 0.124, 1.771, -1.815, 0.593, -0.435, 0.992, 0.575, -0.301, 7
0, 0, 0, -3.86, 2.116, -0.939, 0.688, -0.675, 1.679, -0.512, 0.928, -0.167, -0.434, 8
0, 0, 0, -2.946, 1.649, -1.167, 0.788, -0.909, 1.3, -0.562, 0.902, -0.07, -0.842, 10
0, 0, 0, -2.887, 2.131, -0.83, 0.682, -1.557, 0.818, 0.448, -0.382, 0.207, -0.402, 5
0, 0, 0, -3.712, 1.816, -1.171, 0.647, -0.767, 1.698, -0.347, 0.92, 0.159, -0.359, 8
0, 0, 0, -2.859, 1.627, -1.14, 0.769, -0.948, 1.39, -0.608, 0.956, -0.204, -0.727, 10
0, 0, 0, -2.368, 1.727, -1.556, 1.162, -0.819, 0.941, -0.572, 0.345, -0.279, -0.736, 3
0, 1, 0, -1.372, -0.03, -1.003, -0.388, -0.471, 1.141, 0.654, 0.823, 0.558, 0.043, 1
0, 1, 0, -3.141, 3.314, -0.996, -0.394, -0.19, -0.312, 0.137, 0.631, 0.547, -0.247, 6
0, 1, 0, -1.709, 0.486, -0.953, -0.346, 0.02, 0.786, 0.145, 0.564, -0.229, -0.322, 2
0, 1, 0, -2.67, 2.696, -0.231, -0.028, -1.014, 0.486, -0.137, 0.448, 0.285, -0.482, 4
0, 1, 0, -2.554, 1.117, 0.42, -0.022, -0.645, 0.02, 0.145, -0.327, 0.66, 0.073, 5
0, 1, 0, -2.351, 1.53, 0.086, -0.075, -0.426, 0.125, -0.197, 0.033, 0.848, -0.038, 5
0, 1, 0, -2.051, 1.508, -1.641, -0.058, -0.102, 0.346, -0.021, 0.109, -0.147, -0.298, 3
0, 1, 0, -4.944, 3.325, 0.015, 0.079, -0.593, 1.047, 0.337, 0.296, -0.453, 0.371, 9
0, 2, 0, -2.652, 2.156, -0.053, 1.694, -1.258, 0.062, -0.61, 1.397, 0.133, 0.602, 6
0, 2, 0, -3.836, 3.699, -0.225, 1.52, -1.729, -0.184, 0.064, 0.97, 0.5, -0.13, 7
0, 2, 0, -2.704, 1.285, -0.908, 1.57, -0.84, 1.044, -0.399, 0.951, 0.345, -0.695, 10
0, 2, 0, -1.28, 0.798, -1.647, 0.968, -0.418, 1.609, -0.031, 1.224, -0.374, 0.044, 2
0, 2, 0, -2.53, 1.492, -0.936, 1.21, -1.154, 1.316, -0.267, 1.149, 0.226, -0.77, 10
