@relation bands
@attribute at1 real [25.0, 72.5]
@attribute at2 integer [35, 72]
@attribute at3 real [0.133, 0.533]
@attribute at4 real [11.2, 24.5]
@attribute at5 integer [57, 105]
@attribute at6 real [0.056, 1.25]
@attribute at7 integer [16, 70]
@attribute at8 real [0.0, 35.8]
@attribute at9 integer [0, 2600]
@attribute at10 real [41.0, 76.9]
@attribute at11 real [22.0, 53.4]
@attribute at12 real [0.0, 16.0]
@attribute at13 real [0.0, 6.0]
@attribute at14 real [0.0, 3.1]
@attribute at15 real [0.0, 3.0]
@attribute at16 real [28.0, 60.0]
@attribute at17 integer [30, 45]
@attribute at18 real [83.33, 117.86]
@attribute at19 integer [90, 100]
@attribute class {band, noband}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19
@outputs class
@data
55.0, 46, 0.3, 15.0, 80, 0.75, 20, 6.6, 1900, 54.9, 38.5, 0.0, 0.0, 2.5, 0.7, 34.0, 40, 105.0, 100, noband
50.0, 45, 0.367, 12.0, 70, 0.75, 60, 0.0, 1650, 60.2, 39.8, 1.5, 0.0, 3.0, 1.0, 40.0, 40, 103.22, 100, band
30.0, 45, 0.2, 14.0, 65, <null>, <null>, 0.0, 1600, 62.5, 37.5, 0.0, 0.0, 2.5, 0.8, 33.0, 40, 100.0, 100, noband
50.0, 45, 0.3, 15.0, 76, 1.0, 30, 8.0, 2150, 57.5, 34.5, 0.0, 0.0, 2.5, 1.0, 35.0, 40, 107.4, 100, noband
35.0, 42, <null>, 15.0, 75, 0.75, 30, 0.0, 2100, 58.8, 41.2, 0.0, 0.0, 2.0, 0.8, 30.0, 40, 107.4, 100, band
30.0, 42, 0.2, 15.4, 64, 0.875, <null>, 0.0, 1425, 63.0, 37.0, 0.0, 0.0, 1.0, 1.3, 34.0, 40, 107.4, 100, noband
35.0, 38, 0.433, 16.0, 70, 0.75, 50, 0.0, 1400, 62.5, 37.5, 0.0, 0.0, 2.8, 1.5, 28.0, 40, 103.125, 100, noband
40.0, 47, 0.35, 14.43, 76, 0.75, 16, 7.2, 2000, 51.5, 41.2, 1.0, 0.0, 2.7, 1.4, 40.0, 40, 100.0, 100, band
52.5, 45, 0.2, 15.3, 72, 0.75, <null>, 12.4, 1600, 51.5, 36.1, 0.0, 0.0, 2.5, 1.0, 40.0, 40, 109.67, 100, noband
40.0, 44, 0.2, 15.0, 68, 0.75, <null>, 0.0, 1750, 58.8, 41.2, 0.0, 0.0, 2.7, 0.7, 35.0, 40, 103.125, 100, noband
55.0, 56, 0.233, 15.0, 84, 0.625, 25, 16.7, 1850, 52.1, 31.3, 4.0, 0.0, 2.0, 0.6, 34.0, 40, 103.125, 100, band
40.0, 50, 0.233, 16.0, 70, 0.562, 30, 0.0, 2400, 58.8, 41.2, 8.0, 0.0, 1.5, 0.5, 33.0, 40, 103.125, 100, noband
<null>, 59, 0.233, 14.2, 80, 1.0, 20, 5.6, <null>, 55.6, 38.9, 0.0, 0.0, 2.0, 2.5, 33.0, 40, 106.45, 100, noband
45.0, 54, 0.367, 15.5, 74, 0.562, 40, 10.5, 2250, 52.6, 36.8, 2.0, 0.0, 2.5, 1.8, 30.0, 40, 106.45, 100, noband
40.0, 64, 0.2, 15.5, 85, 1.0, 26, 0.0, 2400, 58.8, 41.2, 0.0, 0.0, 2.5, 1.0, 30.0, 40, 103.125, 100, noband
50.0, 69, 0.367, 17.0, 82, 0.75, 50, 0.0, 1700, 62.5, 37.5, 0.0, 0.0, 3.0, 1.0, 40.0, 40, 106.45, 100, band
50.0, 62, 0.4, 15.4, 98, 0.75, 25, 10.6, 1750, 48.1, 41.3, 0.0, 0.0, 2.8, 1.3, 33.0, 40, 110.0, 100, noband
45.0, 69, 0.267, 16.1, 76, 0.75, 22, 5.6, 2426, 55.6, 38.9, 0.0, 0.0, 2.7, 0.7, 30.0, 40, 103.22, 100, noband
40.0, 65, 0.267, 16.2, 79, 0.625, 30, 0.0, 1500, 62.5, 37.5, 4.0, 0.0, 2.5, 1.0, 38.0, 40, 106.45, 100, band
50.0, 50, 0.3, 14.5, 84, 0.25, 24, 20.7, 1500, 41.3, 38.0, 0.0, 0.0, 3.0, 0.6, 40.0, 33, 103.3, 100, band
40.0, 41, 0.233, 14.0, 79, 0.75, 20, 0.0, 1530, 61.7, 38.3, 5.0, 0.0, 3.1, 1.8, 33.0, 33, 96.9, 100, noband
57.5, 54, 0.267, 15.5, 80, 0.625, 55, 0.0, 1600, 62.5, 37.5, 0.0, 0.0, 3.0, 0.5, 45.0, 40, 103.3, 100, noband
47.5, 41, 0.333, 18.0, 74, 0.5, 30, 17.7, 1900, 44.2, 38.1, 2.0, 0.0, 2.5, 1.0, 40.0, 33, 100.0, 100, band
50.0, 52, 0.2, 14.0, 80, 0.75, 60, 4.4, 1700, 54.9, 40.7, 0.0, 0.0, 2.5, 1.0, 40.0, 33, 100.0, 100, band
52.5, 54, 0.433, 16.3, 90, 0.75, 38, 0.0, 1800, 62.5, 38.5, 0.0, 0.0, 2.9, 1.1, 33.0, 35, 100.0, 100, noband
65.0, 61, 0.367, 14.8, 80, 0.375, 45, 19.5, 1660, 42.4, 38.1, 0.0, 0.0, 3.0, 1.0, 32.0, 35, 105.2, 100, noband
45.0, 54, 0.2, 15.0, 80, 0.812, 20, 0.0, 2000, 58.8, 41.2, 0.0, 0.0, 1.5, 0.6, 33.0, 35, 111.1, 100, noband
<null>, 54, 0.333, 17.0, 94, 0.25, 26, 0.0, 1900, 56.8, 43.2, 0.0, 0.0, 2.5, 0.9, 30.0, 35, 100.0, 100, noband
45.0, 54, 0.167, 18.0, 90, 0.5, 26, 8.3, 1875, 52.1, 39.6, 0.0, 0.0, 3.0, 1.0, 33.0, 35, 106.9, 100, noband
45.0, 56, 0.333, 14.9, 85, 1.0, 30, 17.3, 1600, 48.1, 34.6, 0.0, 0.0, 2.8, 1.0, 40.0, 35, 100.0, 100, noband
35.0, 56, 0.267, 15.0, 70, 1.0, 33, 0.0, 2350, 65.2, 34.8, 0.0, 0.0, 2.5, 1.0, 30.0, 40, 93.75, 90, band
<null>, 46, <null>, 16.0, 72, 0.5, 32, 0.0, 1673, 58.8, 41.2, 0.0, 0.0, 2.5, 1.5, 30.0, <null>, <null>, <null>, band
60.0, 50, 0.3, 14.5, 60, 0.75, 40, 19.0, 1650, 47.6, 33.3, 0.0, 0.0, 2.5, 1.0, 40.0, 40, 103.3, 100, noband
65.0, 47, 0.367, 12.0, 68, <null>, <null>, 0.0, 1600, 58.8, 41.2, 0.0, 0.0, 2.8, 0.8, 40.0, 35, 106.25, 100, noband
40.0, 49, 0.267, 14.0, 82, 0.625, 30, 0.0, 2150, 65.2, 34.8, 1.0, 0.0, 2.5, 0.9, 30.0, 40, 93.75, 90, band
60.0, 48, 0.4, 16.0, 72, 1.0, <null>, 15.2, 1600, 44.6, 40.2, 0.0, 4.0, 2.1, 0.7, 40.0, 40, 96.97, 90, noband
37.5, 43, 0.2, 15.8, 80, 0.5, 32, 0.0, 2400, 62.5, 37.5, 5.0, 0.0, 2.5, 0.9, 35.0, 40, 96.77, 100, noband
45.0, 43, 0.2, 16.0, 80, 0.75, 30, 3.1, 2200, 51.0, 45.9, 0.0, 0.0, 2.5, 1.3, 35.0, 40, 103.33, 100, noband
70.0, 43, 0.3, 18.1, 78, 0.5, 28, 14.4, 2125, 48.1, 37.5, 5.0, 0.0, 3.0, 0.9, 33.0, 40, 100.0, 100, noband
45.0, 42, 0.2, 14.0, 75, 1.0, 20, 11.2, 1800, 51.0, 37.8, 8.0, 0.0, 2.5, 1.0, 35.0, 40, 100.0, 100, noband
50.0, 42, 0.267, 16.0, 88, 0.75, 33, 11.5, 1650, 52.1, 36.4, 0.0, 0.0, 2.5, 1.0, 38.0, 40, 106.25, 100, noband
