@relation bands
@attribute at1 real [25.0, 72.5]
@attribute at2 integer [35, 72]
@attribute at3 real [0.133, 0.533]
@attribute at4 real [11.2, 24.5]
@attribute at5 integer [57, 105]
@attribute at6 real [0.056, 1.25]
@attribute at7 integer [16, 70]
@attribute at8 real [0.0, 35.8]
@attribute at9 integer [0, 2600]
@attribute at10 real [41.0, 76.9]
@attribute at11 real [22.0, 53.4]
@attribute at12 real [0.0, 16.0]
@attribute at13 real [0.0, 6.0]
@attribute at14 real [0.0, 3.1]
@attribute at15 real [0.0, 3.0]
@attribute at16 real [28.0, 60.0]
@attribute at17 integer [30, 45]
@attribute at18 real [83.33, 117.86]
@attribute at19 integer [90, 100]
@attribute class {band, noband}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19
@outputs class
@data
55.0, 46, 0.2, 17.0, 78, 0.75, 20, 13.1, 1700, 50.5, 36.4, 0.0, 0.0, 2.5, 1.0, 34.0, 40, 105.0, 100, band
52.0, 40, 0.3, 16.0, 75, 0.312, 30, 5.6, 1467, 55.6, 38.8, 0.0, 0.0, 2.5, 1.3, 40.0, 40, 108.06, 100, noband
30.0, 45, 0.2, 15.5, 65, <null>, <null>, 5.9, 1600, 58.8, 35.3, 0.0, 0.0, 2.5, 1.8, 33.0, 40, 100.0, 100, noband
40.0, 44, 0.2, 14.0, 69, 0.625, 20, 8.5, 1510, 53.2, 38.3, 2.0, 0.0, 2.5, 0.9, 34.0, 40, 110.0, 100, noband
40.0, 47, 0.333, 24.5, 78, 0.875, 30, 8.8, 2100, 54.9, 36.3, 16.0, 0.0, 2.3, 1.0, 40.0, 40, 100.0, 100, band
35.0, 45, 0.3, 14.1, 65, 1.0, <null>, 0.0, 1500, 59.5, 40.5, 0.0, 0.0, 2.6, 1.0, 40.0, 40, 109.67, 100, noband
52.5, 37, 0.2, 15.0, 66, 0.75, <null>, 13.3, 1600, 55.6, 42.2, 0.0, 0.0, 2.4, 0.8, 40.0, 40, 100.0, 100, noband
35.0, 44, 0.2, 15.5, 100, 0.875, 30, 0.0, 2200, 53.2, 46.8, 0.0, 0.0, 0.0, 0.0, 30.0, 40, 100.0, 100, band
45.0, 44, 0.3, 15.5, 75, 1.25, 20, 14.1, 1300, 50.5, 35.4, 0.0, 0.0, 2.5, 1.5, 40.0, 40, 110.0, 100, noband
50.0, 43, 0.3, 16.0, 70, 0.812, 30, 3.4, 2400, 56.8, 39.8, 0.0, 0.0, 2.5, 0.8, 30.0, 40, 103.125, 100, noband
47.0, 67, 0.333, 16.0, 82, 0.562, 30, 1.5, 1900, 50.5, 34.3, 0.0, 0.0, 2.5, 1.1, 33.0, 40, 103.125, 100, noband
35.0, 56, 0.3, 15.3, 80, 0.75, 20, 0.0, 1900, 76.9, 23.1, 0.0, 0.0, 2.5, 1.25, 33.0, 40, 106.66, 100, band
50.0, 50, 0.2, 15.7, 90, 0.75, 50, 0.0, 1420, 62.5, 37.5, 0.0, 0.0, 3.0, 1.35, 40.0, 40, 106.45, 100, noband
40.0, 54, 0.2, 15.4, 78, 0.5, 34, 5.7, 1736, 56.8, 36.9, 0.0, 0.0, 2.5, 1.1, 35.0, 40, 103.125, 100, noband
55.0, 45, 0.267, 15.5, 79, 0.625, 20, 16.7, 1850, 54.3, 34.3, 4.0, 0.0, 2.5, 1.0, 34.0, 40, 100.0, 100, noband
40.0, 62, 0.267, 16.0, 84, 0.938, 32, 0.0, 2200, 58.8, 41.2, 4.0, 0.0, 1.4, 1.0, 30.0, 40, 106.45, 100, noband
