@relation bands
@attribute at1 real [25.0, 72.5]
@attribute at2 integer [35, 72]
@attribute at3 real [0.133, 0.533]
@attribute at4 real [11.2, 24.5]
@attribute at5 integer [57, 105]
@attribute at6 real [0.056, 1.25]
@attribute at7 integer [16, 70]
@attribute at8 real [0.0, 35.8]
@attribute at9 integer [0, 2600]
@attribute at10 real [41.0, 76.9]
@attribute at11 real [22.0, 53.4]
@attribute at12 real [0.0, 16.0]
@attribute at13 real [0.0, 6.0]
@attribute at14 real [0.0, 3.1]
@attribute at15 real [0.0, 3.0]
@attribute at16 real [28.0, 60.0]
@attribute at17 integer [30, 45]
@attribute at18 real [83.33, 117.86]
@attribute at19 integer [90, 100]
@attribute class {band, noband}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19
@outputs class
@data
62.0, 40, 0.433, 16.0, 80, <null>, 30, 6.5, 1850, 53.8, 39.8, 0.0, 0.0, 2.8, 0.9, 40.0, 40, 103.87, 100, noband
50.0, 46, 0.3, 16.5, 75, 0.75, 30, 0.0, 2600, 62.5, 37.5, 6.0, 0.0, 2.5, 0.6, 30.0, 40, 106.67, 100, noband
60.0, 38, 0.267, 16.4, 64, 0.75, <null>, 11.0, 1400, 54.9, 34.1, 0.0, 0.0, 2.5, 1.0, 32.0, 40, 103.22, 100, noband
37.5, 44, 0.2, 16.0, 90, 0.75, 28, 20.0, 2050, 45.0, 35.0, 0.0, 0.0, 2.4, 0.8, 35.0, 40, 107.4, 100, noband
30.0, 42, 0.2, 15.4, 64, 0.875, <null>, 0.0, 1425, 61.7, 38.3, 0.0, 0.0, 1.0, 1.3, 34.0, 40, 107.4, 100, noband
40.0, 46, 0.333, 15.9, 78, 0.5, 34, 2.4, 2000, 61.0, 36.6, 0.0, 0.0, 2.4, 1.3, 35.0, 40, 103.22, 100, noband
45.0, 41, 0.333, 17.0, 78, 0.75, 16, 14.1, 1100, 50.5, 35.4, 0.0, 0.0, 2.5, 1.0, 50.0, 40, 96.97, 100, band
40.0, 39, 0.233, 15.0, 77, 0.75, 20, 9.4, 2000, 52.1, 38.5, 0.0, 0.0, 2.5, 1.0, 40.0, 40, 103.22, 100, noband
<null>, 40, 0.267, 16.4, 72, 1.0, 26, 0.0, 2000, 62.5, 37.5, 0.0, 0.0, 2.5, 1.0, 40.0, 40, 106.45, 100, band
42.5, 41, 0.2, 14.0, 80, 0.625, 20, 7.4, 1750, 53.2, 39.4, 0.0, 0.0, 2.1, 0.9, 35.0, 40, 96.97, 100, noband
