@relation bands
@attribute at1 real [25.0, 72.5]
@attribute at2 integer [35, 72]
@attribute at3 real [0.133, 0.533]
@attribute at4 real [11.2, 24.5]
@attribute at5 integer [57, 105]
@attribute at6 real [0.056, 1.25]
@attribute at7 integer [16, 70]
@attribute at8 real [0.0, 35.8]
@attribute at9 integer [0, 2600]
@attribute at10 real [41.0, 76.9]
@attribute at11 real [22.0, 53.4]
@attribute at12 real [0.0, 16.0]
@attribute at13 real [0.0, 6.0]
@attribute at14 real [0.0, 3.1]
@attribute at15 real [0.0, 3.0]
@attribute at16 real [28.0, 60.0]
@attribute at17 integer [30, 45]
@attribute at18 real [83.33, 117.86]
@attribute at19 integer [90, 100]
@attribute class {band, noband}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19
@outputs class
@data
50.0, 40, 0.267, 16.8, 76, 0.438, 28, 8.6, 1467, 53.8, 37.6, 5.0, 0.0, 2.5, 0.8, 40.0, 40, 103.87, 100, noband
50.0, 46, 0.2, 16.5, 75, 0.75, 28, 0.0, 2600, 62.5, 37.5, 6.0, 0.0, 2.5, 1.1, 30.0, 40, 106.67, 100, noband
50.0, 50, 0.3, 15.0, 70, 1.0, 30, 10.0, 1600, 50.0, 40.0, 0.0, 0.0, 2.8, 1.0, 38.0, 40, 106.66, 100, band
50.0, 45, 0.233, 16.0, 70, 0.812, 30, 0.0, 2400, 58.8, 41.2, 0.0, 0.0, 1.7, 1.0, 30.0, 40, 107.4, 100, noband
40.0, 45, 0.2, 15.0, 76, 0.812, 30, 0.0, 2400, 62.5, 37.5, 0.0, 0.0, 1.0, 1.0, 30.0, 40, 107.4, 100, noband
30.0, 43, 0.2, 16.3, 70, 0.812, 25, 1.2, 2200, 58.1, 40.7, 4.0, 0.0, 2.0, 1.0, 30.0, 40, 96.875, 100, noband
40.0, 42, 0.2, 14.5, 74, 1.0, 25, 8.0, 2100, 57.5, 34.5, 0.0, 0.0, 2.3, 0.7, 35.0, 40, 107.4, 100, band
40.0, 43, 0.267, 16.0, 96, 1.0, 28, 0.0, 1500, 58.8, 41.2, 2.0, 0.0, 3.0, 0.8, 40.0, 40, 103.12, 100, noband
37.5, 44, 0.3, 15.0, 85, 0.75, 34, 0.0, 1400, 62.5, 37.5, 0.0, 0.0, 2.8, 1.0, 28.0, 40, 103.12, 100, noband
42.5, 41, 0.3, 14.0, 70, 0.625, 20, 2.3, 1750, 57.5, 40.0, 4.0, 0.0, 2.5, 0.7, 35.0, 40, 96.97, 100, noband
50.0, 43, 0.333, 14.02, 68, 0.75, 56, 7.4, 1800, 53.2, 39.4, 0.0, 0.5, 3.0, 1.3, 40.0, 40, 109.67, 100, noband
55.0, 37, 0.267, 16.0, 75, 0.625, 20, 5.6, 1850, 55.6, 38.9, 0.0, 0.0, 0.8, 0.75, 33.0, 40, 109.67, 100, noband
40.0, 43, 0.35, 16.5, 72, 0.625, 20, 9.1, 2000, 56.8, 34.1, 4.0, 0.0, 2.5, 0.5, 35.0, 40, 103.22, 100, noband
40.0, 43, 0.35, 16.1, 70, 0.625, 20, 11.1, 2000, 55.6, 33.3, 4.0, 0.0, 1.8, 0.9, 35.0, 40, 103.22, 100, noband
55.0, 49, 0.267, 12.5, 70, 0.625, 30, 5.6, 1750, 55.6, 38.9, 0.0, 0.0, 2.5, 0.9, 34.0, 40, 106.66, 100, band
55.0, 49, 0.2, 15.6, 74, 0.75, 24, 0.0, 1650, 58.8, 41.2, 0.0, 0.0, 2.5, 1.7, 33.0, 40, 103.33, 100, noband
37.5, 43, 0.233, 14.0, 80, 1.25, 20, 6.25, <null>, 52.1, 41.7, 0.0, 0.0, 3.0, 1.5, 33.0, 40, 106.66, 100, noband
47.5, 68, 0.4, 14.0, 78, 0.75, 22, 0.0, 1900, 62.5, 37.5, 0.0, 0.0, 2.1, 1.7, 33.0, 40, 103.125, 100, band
37.5, 70, 0.333, 14.9, 64, 0.75, 28, 3.4, 1500, 57.5, 39.1, 0.0, 0.0, 2.5, 1.0, 40.0, 40, 106.89, 100, noband
50.0, 62, 0.4, 14.9, 96, 0.75, 26, 11.0, 1950, 50.0, 39.0, 0.0, 0.0, 2.8, 0.8, 33.0, 40, 110.0, 100, noband
