@relation bands
@attribute at1 real [25.0, 72.5]
@attribute at2 integer [35, 72]
@attribute at3 real [0.133, 0.533]
@attribute at4 real [11.2, 24.5]
@attribute at5 integer [57, 105]
@attribute at6 real [0.056, 1.25]
@attribute at7 integer [16, 70]
@attribute at8 real [0.0, 35.8]
@attribute at9 integer [0, 2600]
@attribute at10 real [41.0, 76.9]
@attribute at11 real [22.0, 53.4]
@attribute at12 real [0.0, 16.0]
@attribute at13 real [0.0, 6.0]
@attribute at14 real [0.0, 3.1]
@attribute at15 real [0.0, 3.0]
@attribute at16 real [28.0, 60.0]
@attribute at17 integer [30, 45]
@attribute at18 real [83.33, 117.86]
@attribute at19 integer [90, 100]
@attribute class {band, noband}
@inputs at1, at2, at3, at4, at5, at6, at7, at8, at9, at10, at11, at12, at13, at14, at15, at16, at17, at18, at19
@outputs class
@data
50.0, 45, 0.3, 15.2, 72, 1.0, 25, 5.9, 2150, 58.8, 35.3, 0.0, 0.0, 2.5, 1.0, 35.0, 40, 107.4, 100, noband
40.0, 47, 0.333, 17.0, 78, 0.75, 35, 0.0, 2400, 58.8, 41.2, 4.0, 0.0, 2.5, 1.0, 30.0, 40, 100.0, 100, band
50.0, 43, 0.2, 16.0, 82, 0.875, 30, 0.0, 2270, 55.6, 44.4, 12.0, 0.0, 2.0, 1.0, 30.0, 40, 103.22, 100, noband
50.0, 43, 0.3, 17.0, 87, 0.812, 35, 0.0, 2300, 58.8, 41.2, 0.0, 0.0, 1.3, 0.7, 30.0, 40, 103.22, 100, noband
35.0, 38, 0.4, 12.0, 62, 0.75, 46, 4.7, 1400, 58.8, 36.5, 0.0, 0.0, 2.0, 1.0, 28.0, 40, 103.125, 100, noband
50.0, 46, 0.2, 14.6, 60, 0.625, 25, 10.5, 1750, 52.6, 36.8, 2.0, 0.0, 2.4, 0.8, 28.0, 40, 96.97, 100, band
35.0, 39, 0.2, 16.2, 84, 1.0, 30, 0.0, 2100, 62.5, 37.5, 4.0, 0.0, 2.0, 0.9, 30.0, 40, 94.117, 100, noband
35.0, 45, 0.2, 15.2, 63, 1.0, <null>, 0.0, 1500, 59.5, 40.5, 0.0, 0.0, 2.3, 0.9, 40.0, 40, 109.67, 100, noband
42.0, 44, 0.3, 15.0, 80, 1.25, 20, 16.7, 1300, 49.0, 34.3, 0.0, 0.0, 2.5, 0.2, 40.0, 40, 110.0, 100, noband
40.0, 44, 0.233, 15.5, 68, 0.75, <null>, 5.6, 1750, 55.6, 38.9, 0.0, 0.0, 1.5, 0.5, 35.0, 40, 103.125, 100, noband
