@relation tae
@attribute at1 integer [1, 2]
@attribute at2 integer [1, 25]
@attribute at3 integer [1, 26]
@attribute at4 integer [1, 2]
@attribute at5 integer [3, 66]
@attribute class {1, 2, 3}
@inputs at1, at2, at3, at4, at5
@outputs class
@data
2, 23, 3, 1, 20, 3
2, 25, 7, 2, 23, 2
2, 5, 2, 2, 37, 1
2, 4, 16, 2, 21, 1
2, 10, 3, 2, 27, 3
1, 22, 3, 2, 58, 3
2, 7, 25, 2, 42, 2
2, 13, 1, 2, 31, 1
2, 1, 8, 2, 18, 2
2, 13, 1, 2, 20, 2
2, 13, 14, 2, 17, 3
2, 9, 6, 2, 7, 3
1, 17, 18, 2, 44, 2
2, 19, 4, 2, 10, 1
2, 3, 2, 2, 26, 1
