@relation statlog-landsat
@attribute f1 real [-2.15932, 2.52945]
@attribute f2 real [-2.50187, 2.3386]
@attribute f3 real [-2.59852, 2.43982]
@attribute f4 real [-2.65068, 3.82149]
@attribute f5 real [-2.15525, 2.41958]
@attribute f6 real [-2.47676, 2.3453]
@attribute f7 real [-2.95741, 2.75599]
@attribute f8 real [-2.85774, 3.98196]
@attribute f9 real [-2.14578, 2.59571]
@attribute f10 real [-2.46045, 2.05446]
@attribute f11 real [-2.9367, 2.75995]
@attribute f12 real [-2.83466, 3.95822]
@attribute f13 real [-2.15084, 2.38885]
@attribute f14 real [-2.48972, 2.07442]
@attribute f15 real [-2.78112, 2.73164]
@attribute f16 real [-2.64086, 3.63501]
@attribute f17 real [-2.1478, 2.57155]
@attribute f18 real [-2.47325, 2.04079]
@attribute f19 real [-2.58524, 2.37695]
@attribute f20 real [-2.58002, 3.9473]
@attribute f21 real [-2.22196, 2.60516]
@attribute f22 real [-2.45972, 2.05272]
@attribute f23 real [-2.93088, 2.45195]
@attribute f24 real [-2.82605, 3.77939]
@attribute f25 real [-2.14352, 2.54588]
@attribute f26 real [-2.48894, 2.07868]
@attribute f27 real [-2.77368, 2.43542]
@attribute f28 real [-2.57748, 3.777]
@attribute f29 real [-2.2191, 2.58364]
@attribute f30 real [-2.47388, 1.9536]
@attribute f31 real [-2.93788, 2.73673]
@attribute f32 real [-2.83203, 3.92622]
@attribute f33 real [-2.14299, 2.6197]
@attribute f34 real [-2.4669, 2.05805]
@attribute f35 real [-2.94474, 2.75729]
@attribute f36 real [-2.83583, 3.93827]
@attribute clase {0, 1, 2, 3, 4, 5}
@inputs f1, f2, f3, f4, f5, f6, f7, f8, f9, f10, f11, f12, f13, f14, f15, f16, f17, f18, f19, f20, f21, f22, f23, f24, f25, f26, f27, f28, f29, f30, f31, f32, f33, f34, f35, f36
@outputs clase
@data
1.35726, 0.974463, 0.940317, 0.237727, 1.38656, 1.20554, 0.711197, 0.455241, 1.41034, 1.00244, 0.961004, 0.243365, 1.36376, 1.02115, 1.11377, 0.497076, 1.39171, 1.25193, 0.822532, 0.285632, 1.41695, 0.86985, 0.8371, 0.291718, 1.37353, 1.02461, 0.818806, 0.229081, 1.40143, 1.03304, 0.287687, 0.230303, 1.42903, 1.04762, 0.596519, 0.0219924, 2
1.06421, 0.622429, 0.700396, 0.0237715, 0.796257, 0.241128, 0.951761, 0.2415, 1.41034, 0.827105, 0.421322, 0.243365, 1.36376, 0.845609, 0.514553, 0.124779, 1.09675, 0.682198, 0.523605, 0.126429, 1.41695, 0.69461, 0.298817, 0.133187, 1.08044, 0.673259, 0.579307, 0.0172653, 1.40143, 0.857691, 0.586351, 0.230303, 1.42903, 0.871895, 0.596519, 0.233683, 2
1.35726, 0.798446, 0.400495, 0.237727, 1.68171, 1.38089, 0.711197, 0.455241, 1.70668, 1.39695, 0.961004, 0.614851, 1.36376, 0.670065, 0.274868, 0.124779, 1.39171, 0.8575, 0.822532, 0.285632, 1.41695, 1.26414, 1.13615, 0.503092, 1.37353, 0.848937, 0.579307, 0.229081, 1.10588, 0.857691, 0.825281, 0.230303, 1.42903, 1.22335, 0.836604, 0.498296, 2
1.6503, 1.3705, 0.940317, 0.61215, 1.68171, 1.20554, 1.25247, 0.455241, 1.11399, 1.00244, 0.721145, 0.243365, 1.36376, 1.24058, 1.11377, 0.497076, 1.39171, 1.25193, 1.3606, 0.285632, 1.714, 1.26414, 1.73424, 0.503092, 1.37353, 1.20029, 0.818806, 0.493851, 1.77087, 1.03304, 0.586351, 0.494297, 1.80111, 1.22335, 0.836604, 0.498296, 2
1.35726, 1.19448, 0.940317, 0.451683, 1.38656, 1.20554, 1.25247, 0.2415, 1.41034, 1.22161, 0.961004, 0.243365, 1.65664, 1.02115, 0.814159, 0.497076, 1.68667, 1.0328, 1.12146, 0.285632, 1.41695, 1.04509, 1.13615, 0.291718, 1.37353, 1.02461, 0.579307, 0.229081, 1.40143, 1.03304, 0.586351, 0.230303, 1.42903, 1.04762, 0.596519, 0.233683, 2
1.06421, 0.622429, 0.400495, 0.0237715, 1.38656, 0.986356, 0.169927, 0.0277598, 1.41034, 0.827105, 0.181463, 0.0310878, 1.36376, 0.845609, 0.514553, -0.0879627, 1.39171, 0.8575, 0.523605, 0.285632, 1.11989, 0.69461, 0.298817, 0.133187, 1.37353, 1.02461, 0.818806, 0.229081, 1.40143, 1.03304, 0.825281, 0.230303, 1.42903, 1.04762, 0.596519, 0.0219924, 2
1.06421, 0.974463, 0.400495, 0.237727, 1.09141, 0.986356, 0.711197, 0.455241, 1.11399, 1.00244, 0.961004, 0.243365, 1.36376, 0.845609, 0.814159, 0.124779, 1.39171, 1.0328, 0.822532, 0.126429, 1.41695, 0.86985, 0.538054, 0.133187, 1.37353, 0.848937, 0.579307, 0.0172653, 1.40143, 0.857691, 0.825281, 0.0191076, 1.13136, 0.871895, 0.296412, 0.0219924, 2
1.06421, 0.974463, 0.940317, 0.237727, 1.38656, 0.986356, 0.711197, 0.2415, 1.41034, 1.00244, 0.421322, 0.243365, 1.36376, 0.845609, 0.514553, 0.124779, 1.39171, 0.8575, 0.822532, 0.126429, 1.41695, 0.69461, 0.298817, 0.133187, 1.08044, 0.848937, 0.279933, 0.0172653, 1.10588, 0.682346, 0.586351, 0.0191076, 1.13136, 0.871895, 0.296412, 0.0219924, 2
1.06421, 0.798446, 0.700396, 0.0237715, 1.09141, 0.63566, -0.0706369, 0.0277598, 0.81765, 0.651768, 0.181463, 0.0310878, 1.07087, 0.670065, 0.274868, -0.0879627, 1.09675, 0.682198, 0.045321, -0.0858415, 0.822841, 0.344129, -0.179657, -0.236718, 1.08044, 0.673259, 0.279933, -0.194551, 0.736434, 0.507, 0.0487559, -0.192088, 0.759272, 0.696169, 0.0563267, 0.0219924, 2
0.771159, 0.446412, 0.160574, 0.0237715, 0.501106, 0.241128, -0.0706369, -0.185981, -0.0713797, -0.268747, -0.298255, -0.18119, 0.777989, 0.143433, -0.204502, -0.46026, 0.138135, -0.369618, -0.73189, -0.245044, -0.662426, -1.27684, -0.71794, -0.448092, 0.714082, 0.497582, 0.040434, 0.0172653, 0.736434, 0.331654, 0.287687, -0.192088, 0.461604, -0.182462, -0.183759, -0.189698, 4
